,Date,Sales_USD_cumsum,Number_of_Sales_cumsum,Active_Market_Wallets_cumsum
0,2020-01-01,95168614.94,3809050,136735.0
1,2020-01-02,95240561.87,3817890,136845.0
2,2020-01-03,95327247.62,3826343,136962.0
3,2020-01-04,95467863.32,3838413,137071.0
4,2020-01-05,95539808.86,3848129,137196.0
5,2020-01-06,95652713.25,3854002,137416.0
6,2020-01-07,95756595.83,3861968,137590.0
7,2020-01-08,95837090.32,3867962,137651.0
8,2020-01-09,95890791.66,3874810,137749.0
9,2020-01-09,95891369.36,3874962,137749.0
10,2020-01-10,95954944.09,3880917,137846.0
11,2020-01-11,96032642.78,3888263,137961.0
12,2020-01-12,96091486.72,3896975,138042.0
13,2020-01-13,96164306.15,3904644,138123.0
14,2020-01-14,96245982.58,3913649,138242.0
15,2020-01-15,96308209.28,3920586,138353.0
16,2020-01-16,96369155.55,3925301,138431.0
17,2020-01-17,96441879.29,3930397,138521.0
18,2020-01-18,96523234.54,3938104,138628.0
19,2020-01-19,96579473.99,3946660,138707.0
20,2020-01-20,96647020.16,3959724,138831.0
21,2020-01-21,96742945.04,3968995,138943.0
22,2020-01-22,96834744.12,3977193,139030.0
23,2020-01-23,97006970.83,3986728,139268.0
24,2020-01-24,97085015.49,4003485,139386.0
25,2020-01-25,97141476.66,4014333,139478.0
26,2020-01-26,97214099.21,4026567,139559.0
27,2020-01-27,97279734.79,4036161,139635.0
28,2020-01-28,97366376.42,4043998,139735.0
29,2020-01-29,97443663.72,4050060,139909.0
30,2020-01-30,97495305.48,4055053,139970.0
31,2020-01-31,97576741.19,4060812,140040.0
32,2020-02-01,97647313.98,4068375,140123.0
33,2020-02-02,97724719.62,4075451,140166.0
34,2020-02-03,97815977.63,4079931,140241.0
35,2020-02-04,97900890.4,4082715,140337.0
36,2020-02-05,98034738.64,4085932,140405.0
37,2020-02-06,98149284.78,4088732,140544.0
38,2020-02-07,98374690.27,4091945,140646.0
39,2020-02-08,98463231.84,4101196,140746.0
40,2020-02-09,98655746.25,4115564,140793.0
41,2020-02-10,98802721.29,4121288,140944.0
42,2020-02-11,99280390.49,4132773,141674.0
43,2020-02-12,99499714.49,4137886,142155.0
44,2020-02-13,99659251.81,4143665,142654.0
45,2020-02-14,99774127.58,4148198,142922.0
46,2020-02-15,99886748.92,4153139,143163.0
47,2020-02-16,100027441.38,4157307,143473.0
48,2020-02-17,100204717.87,4162890,143816.0
49,2020-02-18,100402936.66,4167704,144496.0
50,2020-02-19,100523414.64,4172490,145064.0
51,2020-02-20,100636840.48,4178000,145714.0
52,2020-02-21,100823432.65,4184204,146035.0
53,2020-02-22,100943455.58,4190843,146472.0
54,2020-02-23,101054386.13,4197797,146713.0
55,2020-02-24,101201499.82,4204685,146927.0
56,2020-02-25,101321359.35,4210112,147104.0
57,2020-02-26,101423125.77,4215506,147327.0
58,2020-02-27,101522854.47,4222033,147621.0
59,2020-02-28,101640226.06,4229324,148480.0
60,2020-02-29,101711718.79,4238955,148704.0
61,2020-03-01,101836469.54,4247191,148898.0
62,2020-03-02,101983012.33,4259022,149122.0
63,2020-03-03,102111382.86,4264209,149363.0
64,2020-03-04,102201036.66,4269270,149695.0
65,2020-03-05,102270418.01,4273949,149948.0
66,2020-03-06,102347804.43,4279097,150053.0
67,2020-03-07,102418021.94,4286446,150190.0
68,2020-03-08,102502296.76,4290556,150234.0
69,2020-03-09,102566314.58,4294183,150357.0
70,2020-03-10,102633374.52,4300131,150552.0
71,2020-03-11,102718412.14,4307344,150613.0
72,2020-03-12,102762744.01,4312418,150689.0
73,2020-03-13,102811545.34,4314612,150776.0
74,2020-03-14,102847974.0,4319882,150917.0
75,2020-03-15,102890367.33,4325906,151031.0
76,2020-03-16,102928670.57,4331753,151073.0
77,2020-03-17,102966786.54,4338899,151141.0
78,2020-03-18,103031619.7,4348483,151232.0
79,2020-03-19,103123147.97,4355442,151319.0
80,2020-03-20,103174630.88,4361037,151444.0
81,2020-03-21,103228067.59,4367742,151543.0
82,2020-03-22,103298277.75,4373510,151711.0
83,2020-03-23,103354537.15,4378646,151868.0
84,2020-03-24,103399580.37,4382734,152060.0
85,2020-03-25,103467893.28,4386438,152242.0
86,2020-03-26,103538151.06,4392284,152369.0
87,2020-03-27,103589441.62,4397537,152581.0
88,2020-03-28,103662273.45,4406163,152671.0
89,2020-03-29,103713954.87,4412086,152720.0
90,2020-03-30,103781569.33,4417367,152984.0
91,2020-03-31,104261673.44,4434242,153299.0
92,2020-04-01,104346984.75,4441451,153514.0
93,2020-04-02,104401895.42,4445519,153659.0
94,2020-04-03,104461183.91,4452561,153857.0
95,2020-04-04,104537932.0,4463510,154003.0
96,2020-04-05,104593335.51,4469893,154234.0
97,2020-04-06,104636001.99,4476530,154331.0
98,2020-04-07,104684823.02,4481312,154384.0
99,2020-04-08,104782458.41,4485102,154539.0
100,2020-04-09,104837063.9,4489365,154606.0
101,2020-04-10,104987803.48,4494115,154781.0
102,2020-04-11,105039942.26,4501883,154934.0
103,2020-04-12,105086808.12,4508964,155096.0
104,2020-04-13,105132837.4,4514309,155229.0
105,2020-04-14,105195376.72,4523753,155387.0
106,2020-04-15,105249201.95,4529002,155527.0
107,2020-04-16,105335745.17,4532630,155685.0
